unit_id	unit_kind_check	topic_primary	topic_secondary	statement_type	unclear	notes
adilet-0001	structural				0	титул
adilet-0002	structural				0	титул
adilet-0003	structural				0	титул
adilet-0004	structural				0	титул
adilet-0005	structural				0	навигация
adilet-0006	structural				0	оглавление
adilet-0007	structural				0	оглавление
adilet-0008	structural				0	оглавление
adilet-0009	structural				0	оглавление
adilet-0010	structural				0	оглавление
adilet-0011	structural				0	оглавление
adilet-0012	structural				0	оглавление
adilet-0013	structural				0	оглавление
adilet-0014	structural				0	оглавление
adilet-0015	structural				0	оглавление
adilet-0016	structural				0	оглавление
adilet-0017	structural				0	оглавление
adilet-0018	structural				0	оглавление
adilet-0019	structural				0	оглавление
adilet-0020	structural				0	оглавление
adilet-0021	structural				0	колонтитул
adilet-0022	structural				0	заголовок преамбулы
adilet-0023	substantive	T01		description	0	
adilet-0024	substantive	T01		description	0	Конституция 15 марта 2026
adilet-0025	substantive	T00		goal	0	
adilet-0026	substantive	T00		description	0	
adilet-0027	substantive	T00		goal	0	
adilet-0028	substantive	T00		goal	0	реформаторский центризм
adilet-0029	substantive	T00	T01	description	0	опора курса Президента
adilet-0030	substantive	T00		description	0	ценности партии
adilet-0031	substantive	T12		description	0	
adilet-0032	substantive	T00		goal	0	
adilet-0033	substantive	T00		description	0	
adilet-0034	substantive	T00	T01	description	0	
adilet-0035	lead_in				0	
adilet-0036	substantive	T00	T14	achievement	0	сбор запросов через QR-коды
adilet-0037	substantive	T00		achievement	0	продолжение в 0038
adilet-0038	fragment				0	продолжение 0037
adilet-0039	substantive	T00		achievement	0	
adilet-0040	substantive	T00		achievement	0	
adilet-0041	substantive	T00		description	0	стратегические сессии
adilet-0042	substantive	T00		achievement	0	
adilet-0043	substantive	T00		description	0	
adilet-0044	substantive	T00		description	0	
adilet-0045	substantive	T00		description	0	
adilet-0046	substantive	T00		description	0	
adilet-0047	substantive	T00		achievement	0	социологические исследования
adilet-0048	substantive	T00		achievement	0	
adilet-0049	substantive	T00	T09	goal	0	
adilet-0050	substantive	T03		goal	0	экономика возможностей
adilet-0051	substantive	T03	T09	goal	0	
adilet-0052	substantive	T05	T03	commitment	0	перечень флагманских направлений
adilet-0053	lead_in				0	
adilet-0054	structural				0	маркер цели 1
adilet-0055	substantive	T08		goal	0	
adilet-0056	substantive	T08		commitment	0	30 кв. м на человека
adilet-0057	substantive	T08		commitment	0	переселение из аварийного жилья
adilet-0058	substantive	T10		goal	0	ДЕФЕКТ: маркер «77лет ЦЕЛЬ 2» слился с текстом
adilet-0059	substantive	T10		goal	0	продолжительность жизни 77 лет
adilet-0060	lead_in				0	
adilet-0061	substantive	T10		instrument	0	профилактика, −5% смертности от ССЗ
