unit_id	unit_kind_check	topic_primary	topic_secondary	statement_type	unclear	notes
osdp-0001	structural				0	титул
osdp-0002	structural				0	продолжение титула
osdp-0003	structural				0	название программы
osdp-0004	structural				0	П-01: именная группа без сказуемого, эпиграф
osdp-0005	substantive	T99		description	0	общее утверждение о стране, ни одна тема не подходит
osdp-0006	substantive	T01		description	0	
osdp-0007	substantive	T01		description	0	конституционная реформа
osdp-0008	rhetorical				0	П-14: призыв без пропозиции
osdp-0009	substantive	T01	T04	goal	0	
osdp-0010	substantive	T01		goal	0	
osdp-0011	substantive	T04	T02	problem	0	государство как участник рынка
osdp-0012	substantive	T00		description	0	опыт работы в VIII созыве
osdp-0013	substantive	T04	T01	goal	0	против монополизма и лоббизма
osdp-0014	substantive	T01	T09	goal	0	
osdp-0015	substantive	T00		description	0	
osdp-0016	substantive	T00		description	0	
osdp-0017	substantive	T01		goal	0	П-14: цель без механизма — не лозунг
osdp-0018	fragment				0	«Именно такой путь» — отсылка к 0017
osdp-0019	rhetorical				0	
osdp-0020	structural				0	заголовок раздела I
osdp-0021	structural				0	заголовок 1
osdp-0022	substantive	T04		problem	0	концентрация рынка
osdp-0023	substantive	T04		problem	0	
osdp-0024	fragment				0	«В таких условиях» — отсылка к 0023
osdp-0025	substantive	T04		goal	0	
osdp-0026	substantive	T04		commitment	0	обязательство без содержания, но пропозиция есть — П-14
osdp-0027	substantive	T04		goal	0	
osdp-0028	substantive	T04	T03	goal	0	
osdp-0029	substantive	T03	T04	instrument	0	прогрессивная шкала, налог на роскошь
osdp-0030	substantive	T03		goal	0	
osdp-0031	structural				0	заголовок 2
osdp-0032	substantive	T02		problem	0	
osdp-0033	substantive	T02		description	0	международные индексы
osdp-0034	substantive	T02		goal	0	
osdp-0035	substantive	T14	T02	instrument	0	
osdp-0036	substantive	T01	T03	instrument	0	открытый бюджет
osdp-0037	substantive	T02	T03	instrument	0	госзакупки
osdp-0038	substantive	T02		instrument	0	декларации должностных лиц
osdp-0039	substantive	T02	T01	instrument	0	защита информаторов
osdp-0040	substantive	T02		description	0	
osdp-0041	substantive	T02		goal	0	
osdp-0042	structural				0	заголовок 3
osdp-0043	substantive	T01		goal	0	
osdp-0044	substantive	T01		problem	0	
osdp-0045	substantive	T01	T02	goal	0	свобода слова, объединений, собраний
osdp-0046	fragment				0	«Эти права» — отсылка к 0045
osdp-0047	substantive	T01		goal	0	защита оппозиции
osdp-0048	substantive	T01	T02	goal	0	
osdp-0049	structural				0	заголовок 4, разорван вёрсткой
osdp-0050	structural				0	продолжение заголовка 4
osdp-0051	substantive	T01		goal	0	
osdp-0052	fragment				0	«Это» — отсылка к 0051
osdp-0053	substantive	T01		goal	0	
osdp-0054	substantive	T01		goal	0	
osdp-0055	substantive	T01	T12	instrument	0	доступ партий к медиаплощадкам
osdp-0056	fragment				0	ДЕФЕКТ ВЁРСТКИ: подлежащее предложения, сказуемое в 0057
osdp-0057	substantive	T01	T12	goal	0	сказуемое к 0056; обязанности госмедиа
osdp-0058	substantive	T01	T12	instrument	0	
osdp-0059	substantive	T01		goal	0	
osdp-0060	substantive	T01		instrument	0	доступ к первичным протоколам
osdp-0061	substantive	T01		goal	0	
osdp-0062	substantive	T01		goal	0	политический плюрализм
osdp-0063	substantive	T01		goal	0	условия регистрации партий
osdp-0064	substantive	T01		goal	0	малые и новые партии
osdp-0065	lead_in				0	
osdp-0066	substantive	T01		instrument	0	процедурные права фракций
osdp-0067	substantive	T01		goal	0	
osdp-0068	fragment				0	«эти меры» — отсылка
osdp-0069	substantive	T01		description	0	
osdp-0070	structural				0	заголовок 5
osdp-0071	substantive	T01		goal	0	президентско-парламентская форма правления
osdp-0072	substantive	T01		instrument	0	регулирование лоббирования
osdp-0073	substantive	T01		goal	0	
osdp-0074	substantive	T00		achievement	0	
osdp-0075	substantive	T01	T00	goal	0	
osdp-0076	substantive	T01		goal	0	
osdp-0077	substantive	T01		goal	0	
osdp-0078	substantive	T01		goal	0	повтор 0071
osdp-0079	substantive	T01		goal	0	ответственность депутата перед избирателем
osdp-0080	substantive	T01		goal	0	
osdp-0081	substantive	T01	T12	description	0	
osdp-0082	substantive	T12		description	0	исторический курултай
osdp-0083	substantive	T01		goal	0	
osdp-0084	substantive	T01		instrument	0	общественная оценка законопроектов
osdp-0085	substantive	T01		goal	0	
osdp-0086	substantive	T01		goal	0	П-14: общее, но пропозиция есть
osdp-0087	substantive	T01		goal	0	
osdp-0088	substantive	T01		goal	0	
osdp-0089	substantive	T01		goal	0	
osdp-0090	structural				0	заголовок 6
osdp-0091	substantive	T01		goal	0	
osdp-0092	substantive	T01		instrument	0	полномочия акиматов
osdp-0093	structural				0	П-01: подзаголовок, содержание в 0094
osdp-0094	substantive	T01	T03	instrument	0	налоги за местными бюджетами
osdp-0095	substantive	T01	T14	instrument	0	публичность местных бюджетов
