unit_id	unit_kind_check	topic_primary	topic_secondary	statement_type	unclear	notes
auyl-0001	structural				0	титул
auyl-0002	rhetorical				0	лозунг на казахском
auyl-0003	structural				0	оглавление
auyl-0004	structural				0	оглавление
auyl-0005	structural				0	оглавление
auyl-0006	structural				0	оглавление
auyl-0007	structural				0	оглавление
auyl-0008	structural				0	оглавление
auyl-0009	structural				0	оглавление
auyl-0010	structural				0	оглавление
auyl-0011	structural				0	оглавление
auyl-0012	structural				0	оглавление
auyl-0013	structural				0	оглавление
auyl-0014	substantive	T00		description	0	
auyl-0015	substantive	T00		description	0	
auyl-0016	substantive	T00		description	0	подлежащее опущено, но восстановимо — не fragment по П-08
auyl-0017	substantive	T00		description	0	
auyl-0018	substantive	T00		description	0	
auyl-0019	substantive	T00		description	0	П-14: утверждение о партии, переклассифицировано из rhetorical
auyl-0020	substantive	T00		description	0	П-14
auyl-0021	substantive	T00		description	0	П-14
auyl-0022	substantive	T01	T12	goal	0	«сильные регионы — сильный центр»
auyl-0023	substantive	T01	T12	goal	0	
auyl-0024	substantive	T00		description	0	П-14
auyl-0025	lead_in				0	
auyl-0026	substantive	T01		goal	0	П-14: декларируемая ценность — желаемое состояние
auyl-0027	substantive	T04		goal	0	П-14
auyl-0028	substantive	T12		goal	0	П-14
auyl-0029	substantive	T12		goal	0	П-14
auyl-0030	structural				0	заголовок раздела 2
auyl-0031	substantive	T00		description	0	о программе 2023 года
auyl-0032	substantive	T00		achievement	0	
auyl-0033	substantive	T00		achievement	0	
auyl-0034	substantive	T00		description	0	П-14
auyl-0035	substantive	T07		achievement	0	господдержка АПК в 11 раз
auyl-0036	substantive	T03	T07	achievement	0	льгота по НДС 80%
auyl-0037	substantive	T07		achievement	0	льготное кредитование ЛПХ под 2,5%
auyl-0038	substantive	T07		achievement	0	товарное кредитование без залога
auyl-0039	substantive	T07		achievement	0	
auyl-0040	substantive	T07		achievement	0	
auyl-0041	substantive	T07	T01	achievement	0	Министерство водных ресурсов
auyl-0042	substantive	T07		achievement	0	орошаемые площади
auyl-0043	substantive	T07		achievement	0	Водный кодекс, талая вода
