unit_id	unit_kind_check	topic_primary	topic_secondary	statement_type	unclear	notes
npk-0001	structural				0	оглавление, склеено в один блок
npk-0002	structural				0	оглавление
npk-0003	structural				0	оглавление
npk-0004	structural				0	оглавление
npk-0005	structural				0	оглавление
npk-0006	structural				0	оглавление; сегментатор дал substantive
npk-0007	structural				0	оглавление
npk-0008	structural				0	оглавление
npk-0009	structural				0	оглавление
npk-0010	structural				0	оглавление
npk-0011	structural				0	оглавление
npk-0012	structural				0	оглавление
npk-0013	structural				0	оглавление
npk-0014	structural				0	оглавление
npk-0015	structural				0	оглавление
npk-0016	structural				0	оглавление
npk-0017	structural				0	оглавление
npk-0018	structural				0	оглавление
npk-0019	structural				0	оглавление
npk-0020	structural				0	заголовок раздела 1 с прилипшим номером страницы
npk-0021	rhetorical				0	обращение
npk-0022	substantive	T01		description	0	
npk-0023	substantive	T01		description	0	Новая Конституция
npk-0024	substantive	T01		goal	0	
npk-0025	substantive	T05	T08	goal	0	энергетика, ЖКХ, водная безопасность
npk-0026	substantive	T11		description	0	
npk-0027	substantive	T11		description	0	главный дефицит — люди и компетентность
npk-0028	lead_in				0	
npk-0029	substantive	T09	T04	goal	0	«честный договор»
npk-0030	substantive	T00		description	0	казахстанский социализм
npk-0031	substantive	T00	T09	goal	0	
npk-0032	substantive	T13	T03	description	0	ДЕФЕКТ: номер страницы «2» прилип к началу предложения
npk-0033	substantive	T01	T03	goal	0	
npk-0034	substantive	T09		goal	0	
npk-0035	substantive	T09		goal	0	
npk-0036	lead_in				0	
npk-0037	substantive	T04		problem	0	
npk-0038	substantive	T09		problem	0	
npk-0039	substantive	T08		problem	0	
npk-0040	substantive	T04	T11	problem	0	
npk-0041	substantive	T09		problem	0	
npk-0042	substantive	T09	T03	description	0	цитата Послания 2024
npk-0043	substantive	T00		description	0	
npk-0044	substantive	T09		description	0	ДЕФЕКТ: номер страницы «3» прилип; цитата Адама Смита
npk-0045	substantive	T09		description	0	цитата Рузвельта
npk-0046	substantive	T09	T03	goal	0	
npk-0047	substantive	T00		description	0	
npk-0048	substantive	T00		description	0	
npk-0049	structural				0	заголовок раздела 2 с прилипшим номером страницы
npk-0050	substantive	T00		description	0	
npk-0051	lead_in				0	
npk-0052	substantive	T00	T01	achievement	0	7 законов, 2 подписаны
npk-0053	substantive	T00	T01	achievement	0	30 законопроектов
npk-0054	substantive	T00		achievement	0	155 депутатских запросов
npk-0055	substantive	T00		achievement	0	3217 поправок
npk-0056	substantive	T00		achievement	0	38 круглых столов
npk-0057	substantive	T00	T02	achievement	0	Правительственный час о судебных исполнителях
npk-0058	substantive	T00		achievement	0	700 встреч в регионах
npk-0059	substantive	T00		goal	0	
npk-0060	substantive	T00		description	0	ДЕФЕКТ: заголовок «Наша цель» слился с текстом, П-11
npk-0061	substantive	T00		goal	0	
npk-0062	substantive	T00		description	0	
npk-0063	substantive	T12		goal	0	межэтническое согласие
npk-0064	substantive	T01		goal	0	государство доверия
npk-0065	substantive	T02		goal	0	
npk-0066	substantive	T11	T10	goal	0	человеческий капитал
npk-0067	substantive	T03		goal	0	
npk-0068	substantive	T14	T03	goal	0	экономика знаний и ИИ
npk-0069	substantive	T11		goal	0	
npk-0070	substantive	T11		goal	0	
npk-0071	substantive	T00		description	0	
npk-0072	substantive	T11		goal	0	
npk-0073	substantive	T00		description	0	
npk-0074	substantive	T00		description	0	
npk-0075	substantive	T00		description	0	
npk-0076	substantive	T00		goal	0	
npk-0077	structural				0	заголовок 1
npk-0078	substantive	T04		goal	0	
npk-0079	substantive	T04	T13	goal	0	ДЕФЕКТ: два предложения склеены через «\»; ссылка на МОТ
npk-0080	substantive	T04		goal	0	
npk-0081	substantive	T04		instrument	0	МЗП = прожиточный минимум
npk-0082	substantive	T04	T13	instrument	0	стандарты МОТ
npk-0083	substantive	T04	T09	instrument	0	оценка работающей бедности
npk-0084	substantive	T04		instrument	0	
npk-0085	substantive	T04		instrument	0	условия доступа к господдержке
npk-0086	substantive	T09	T04	instrument	0	
npk-0087	substantive	T04	T13	instrument	0	
npk-0088	substantive	T04		instrument	0	сверхурочные и ночные смены
npk-0089	structural				0	заголовок 2
npk-0090	substantive	T04		goal	0	
npk-0091	substantive	T04		problem	0	
npk-0092	substantive	T04		goal	0	
npk-0093	substantive	T04		description	0	Год рабочих профессий
npk-0094	substantive	T04		description	0	
npk-0095	substantive	T04		instrument	0	трудовые инспекции
npk-0096	substantive	T04		instrument	0	запрет «заёмного» труда
npk-0097	substantive	T04		instrument	0	раскрытие данных о травматизме
npk-0098	substantive	T04	T11	instrument	0	
npk-0099	substantive	T04		instrument	0	права работников при приватизации
npk-0100	substantive	T04	T03	instrument	0	теневая занятость
npk-0101	substantive	T04		instrument	0	
npk-0102	substantive	T04	T14	instrument	0	цифровые профсоюзы платформенных работников
npk-0103	substantive	T04		goal	0	
npk-0104	substantive	T09	T11	instrument	0	«Серебряные университеты»
npk-0105	substantive	T04	T14	instrument	0	пенсионные отчисления платформ
npk-0106	substantive	T04		goal	0	независимые профсоюзы
npk-0107	structural				0	заголовок 3
npk-0108	substantive	T09	T04	goal	0	равные возможности для женщин
npk-0109	substantive	T09		description	0	
npk-0110	substantive	T09	T04	goal	0	
npk-0111	substantive	T04	T09	instrument	0	равная оплата за равный труд
npk-0112	substantive	T09	T11	instrument	0	детские сады
npk-0113	substantive	T04	T09	instrument	0	женское предпринимательство
npk-0114	substantive	T11	T09	instrument	0	
npk-0115	substantive	T01	T09	instrument	0	квоты женщин в маслихатах
npk-0116	structural				0	заголовок 4
npk-0117	substantive	T09		goal	0	
npk-0118	substantive	T09		goal	0	
npk-0119	substantive	T09	T03	instrument	0	
npk-0120	substantive	T09		instrument	0	индексация пенсий
npk-0121	substantive	T10		instrument	0	
npk-0122	substantive	T09		instrument	0	дневные центры для пожилых
npk-0123	substantive	T09	T02	instrument	0	
npk-0124	substantive	T09	T14	instrument	0	
npk-0125	substantive	T09	T04	instrument	0	
npk-0126	substantive	T09		instrument	0	досрочная пенсия по здоровью
npk-0127	substantive	T09		instrument	0	пенсии самозанятых
npk-0128	substantive	T09	T04	instrument	0	
npk-0129	substantive	T09		instrument	0	клубы активного долголетия
npk-0130	structural				0	заголовок 5
npk-0131	substantive	T09		goal	0	инклюзия
npk-0132	substantive	T09		goal	0	
npk-0133	substantive	T10	T09	instrument	0	скрининг матери и ребёнка
npk-0134	substantive	T09	T10	instrument	0	центры раннего вмешательства
npk-0135	substantive	T09	T11	instrument	0	институт тьюторов
npk-0136	substantive	T09	T11	instrument	0	тьютор за счёт бюджета
npk-0137	substantive	T09	T11	instrument	0	кабинеты поддержки инклюзии
npk-0138	substantive	T09		instrument	0	статус соцработника родителям
npk-0139	substantive	T09	T10	instrument	0	поддержка родителей от выгорания
npk-0140	substantive	T09		instrument	0	пособие по инвалидности
npk-0141	substantive	T09		instrument	0	бессрочный статус без переосвидетельствования
npk-0142	substantive	T09	T11	instrument	0	стандарты доступности зданий
npk-0143	substantive	T09		instrument	0	штрафы за недоступность
npk-0144	substantive	T09	T08	instrument	0	адаптация транспорта
npk-0145	substantive	T09	T08	instrument	0	инватакси
npk-0146	substantive	T09	T04	instrument	0	квотирование рабочих мест
npk-0147	substantive	T09	T04	instrument	0	штрафы за игнорирование квот
npk-0148	substantive	T09	T04	instrument	0	льготы за адаптированные места
npk-0149	substantive	T09	T04	instrument	0	гранты на бизнес
npk-0150	substantive	T09	T04	instrument	0	бизнес-инкубаторы
npk-0151	structural				0	заголовок 6
npk-0152	substantive	T10		goal	0	
npk-0153	substantive	T10		description	0	
npk-0154	substantive	T10	T09	description	0	
npk-0155	substantive	T10		problem	0	
npk-0156	substantive	T10		goal	0	
npk-0157	substantive	T10		goal	0	
npk-0158	substantive	T10	T14	instrument	0	контроль качества медуслуг с ИИ
npk-0159	substantive	T10	T14	instrument	0	цифровой кабинет пациента
npk-0160	substantive	T10		instrument	0	«деньги следуют за качеством»
npk-0161	substantive	T10		goal	0	
