text_key	unit_id_at_decision	code	decision	reason
d8e72561eb93	adilet-0463	T15	reject	Реформа уголовного права: насилие названо как признак состава, а не тема. T02
a28475166111	adilet-0614	T15	reject	Поддержка семей пострадавших, вид вреда не указан; насилия в утверждении нет
65dffca7e5dc	adilet-0842	T15	accept	Прямо: «противодействие семейному насилию»
318412e8d16a	adilet-0866	T15	accept	ПОГРАНИЧНЫЙ. «Насилие» без уточнения, но в ряду с социальным сиротством — семейный контекст. Второй кодировщик мог бы отклонить
65da5fb4f871	adilet-1258	T15	accept	Прямо: «подразделения по защите женщин от насилия»
bc0fc963f4ee	auyl-0055	T15	reject	Амнистия, «ненасильственные преступления» — отрицание признака. T02
2807fcdfde34	auyl-0126	T15	reject	Пострадавшие от ядерных испытаний и Арала. T06
9511abfc8eda	auyl-0153	T15	accept	Прямо: «нулевая терпимость к насилию в семье»
57e7da9aa7bd	baitaq-0052	T15	reject	Пострадавшие от экологического бедствия. T06
2ce75bfc5c7f	baitaq-0102	T15	reject	Лечение пострадавших от загрязнения. T06
f4affc8f03f6	baitaq-0360	T15	reject	Очередь на жильё для пострадавших от экокатастроф. T08
ac72b732e5b4	baitaq-0395	T15	reject	Представители пострадавшей местности. T06
de02423118e2	npk-0257	T15	accept	Прямо: «кризисные центры для пострадавших от насилия»
f363b9920c59	respublica-0144	T15	reject	Восстановление лесов после пожаров и паводков. T06
6194ca8e7b2f	respublica-0219	T15	accept	Прямо: «защита детей и семьи от бытового насилия и буллинга»
b48a93d1eebb	adilet-0634	T16	reject	Льготное финансирование животноводства. T07
205d655db71b	adilet-0647	T16	reject	Кормовая база для животноводства. T07
6698e6f4a505	adilet-1189	T16	accept	Прямо: ответственность за содержание животных и жестокое обращение
2ef1001c9941	auyl-0047	T16	reject	План развития животноводства. T07
45735107a8a1	baitaq-0148	T16	reject	Пословица «собака лает — караван идёт»; животных как темы нет
e4c66c8c0dbc	respublica-0139	T16	reject	ПОГРАНИЧНЫЙ. Животные названы, но утверждение о бережном отношении к природе в целом. T06
69c40a94ab42	respublica-0146	T16	accept	Прямо: «приюты для животных»
5ce04973265b	respublica-0218	T15	accept	Сталкинг, похищение с целью брака, причинение вреда женщинам — гендерное насилие названо через деяния, без слова «насилие». Приоритет T15 над T02 по §4
